Year,Visitors
1980,20045675
1981,21222701
1982,22980745
1983,23682368
1984,27329506
1985,28850424
1986,31791184
1987,34064530
1988,36765608
1989,38712303
1990,40970233
1991,39560874
1992,40536194
1993,41032560
1994,39883477
1995,41282314
1996,44757082
1997,46953929
1998,48699000
1999,58864000
2000,72800000
2001,69500000
2002,73900000
2003,74600000
2004,79700000
2005,83600000
2006,83900000
2007,84500000
2008,84193000
2009,80879000
2010,82315000
2011,87300000
2012,91500000
2013,94128000
2014,98500000
2015,106328000
