Year,Pop
1980,4439632000
1981,4518602000
1982,4599003000
1983,4681211000
1984,4765658000
1985,4852541000
1986,4942056000
1987,5033804000
1988,5126632000
1989,5218978000
1990,5309667000
1991,5398328000
1992,5485115000
1993,5570045000
1994,5653315000
1995,5735123000
1996,5815392000
1997,5894155000
1998,5971882000
1999,6049205000
2000,6126622000
2001,6204310000
2002,6282301000
2003,6360764000
2004,6439842000
2005,6519635000
2006,6600220000
2007,6681607000
2008,6763732000
2009,6846479000
2010,6929725000
2011,7013427000
2012,7097500000
2013,7181715000
2014,7265785000
2015,7349472000
